scenario,time,time_to_terminal,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_service_composite,log_wage,log_ai_price,log_ai_marginal_cost,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_effective_research,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,output_capital_ratio,capability_growth_to_output_capital,gross_capital_return,net_capital_return,human_research_share,production_labor_population_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,ai_markup,ai_profit_share,shadow_capability_to_output,shadow_capability_to_capital,human_to_automated_research_ratio,singularity_time_estimate,monopoly_foc_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual,sigma_xl,population_growth,terminal_output_capital_ratio
sigma4_n012,0.0,147.5389392038869,0.9200248718261719,0.0,0.0,-0.3421848335079738,-1.3338993742718357,0.10470434177511914,-0.2968714416828621,-0.29620074817212017,0.2877542970041409,0.0,-7.881247411992405,-7.881247411992405,-8.295027663531982,-0.000249786807797097,-10.125507576688657,-8.766099742857609,0.10470434177511914,-0.3421848335079738,0.9200248718261719,0.10930304449737181,0.0019044263111037513,0.0680241653940298,0.05602416539402981,0.09335237504750127,0.04415488270750889,0.032154882707508894,0.03211092674093585,0.4424974708909994,0.004303812872125702,0.1460241653940298,0.09602416539402979,0.00024975561366977016,0.9997502443863302,0.0006770808351632033,0.25005416646681305,0.18756767764320276,0.1773684553535555,0.00034020854737211583,3.606412628347906e-05,0.3600089378513375,0.639614789475007,1.0000000000000002,0.6695463558404406,0.6697136205767308,1.3334296362141544,0.00011343561218723033,0.23725880817536332,0.10498642256421108,6.236879100748122,17.84161403906348,-1.152172801610618e-11,-6.661338147750939e-16,6.106226635438361e-15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.012,3.0
sigma4_n012,1.0,146.5389392038869,1.0214132616560698,0.001956645584216392,0.012,-0.27856458751146596,-1.2450189715077222,0.14624524618929027,-0.28480765695106386,-0.2667012989175581,0.28580479234515366,-0.001956645584216392,-7.743477129895162,-7.745433775479378,-8.185712832616906,0.01172467963524448,-9.957193847264453,-8.646192589222556,0.13424524618929026,-0.29056458751146597,1.0094132616560698,0.0940812794575752,0.002008632630778473,0.05954135547741601,0.047541355477416,0.0847358661804783,0.039127431420982184,0.027127431420982184,0.02708846440435675,0.4167919862952,0.004819268836315449,0.137541355477416,0.087541355477416,0.0002752824675819291,0.9997247175324181,0.0007440219527796901,0.25005952175622237,0.1875743654383185,0.18171372796454235,0.00037384135999629387,4.0938521449015904e-05,0.3456910981861518,0.6538941219324029,1.0,0.6695015052916375,0.6696858580671511,1.3334391581694827,0.00012465334836609846,0.24924783104276488,0.10388449858008438,5.879554622961885,19.941988686191447,-1.3397989315211412e-11,-8.881784197001252e-16,7.549516567451064e-15,0.0,0.0,6.339267073773858e-08,-3.7092010886363713e-11,3.297436445420798e-08,3.3123160075865243e-08,4.0,0.012,3.0
sigma4_n012,2.0,145.5389392038869,1.109221988559603,0.004016901604867099,0.024,-0.2225457269356158,-1.163866828550578,0.18330064899418674,-0.272750160045496,-0.2416824106326192,0.2837512460341838,-0.004016901604867099,-7.623213824148405,-7.6272307257532725,-8.082052623341067,0.023698246998371475,-9.803495861418726,-8.533346260268488,0.15930064899418675,-0.2465457269356158,1.085221988559603,0.08197724588960158,0.0021117436186711626,0.05273486158891307,0.04073486158891307,0.07780893945130936,0.03512895145635353,0.02312895145635353,0.023094867558637322,0.3961662472391305,0.005330448096948779,0.13073486158891306,0.08073486158891306,0.0003017074787705302,0.9996982925212294,0.0008069202958870003,0.25006455362367097,0.18758064879519654,0.18546354761226871,0.00040544254863792404,4.6003342070265214e-05,0.33313601754149086,0.666412536567801,1.0,0.6694593634017556,0.6696614052559654,1.333448105189127,0.00013519404960636605,0.2610220021101303,0.10340810702281474,5.592594087308597,21.92817193266216,-1.5321985000205096e-11,0.0,1.3100631690576847e-14,0.0,0.0,6.724808108982128e-08,-4.772749079631766e-11,3.533117177989542e-08,3.5531103809161024e-08,4.0,0.012,3.0
sigma4_n012,3.0,144.5389392038869,1.186130252266476,0.0061799424304419745,0.036000000000000004,-0.17268058323795796,-1.0889830993812089,0.2167548257658327,-0.26069874251060365,-0.2202599363364593,0.28159450931101304,-0.0061799424304419745,-7.5169244227738155,-7.523104365204257,-7.9830227313033735,0.03567080429563866,-9.661621020788706,-8.426300552448833,0.18075482576583268,-0.20868058323795796,1.150130252266476,0.07216920406600184,0.0022142803892908017,0.04717555950143986,0.03517555950143986,0.07214035134624586,0.03188830430461698,0.019888304304616976,0.019858956634838387,0.3793198772770905,0.005837501596767853,0.12517555950143985,0.07517555950143985,0.0003291415254007796,0.9996708584745992,0.0008660160010309283,0.2500692812800825,0.1875865518011845,0.1887216013364044,0.000435132841398485,5.127148303768504e-05,0.3220743530314867,0.6774392426440772,1.0,0.6694197692793091,0.6696401756681983,1.3334565114090293,0.0001450978792922369,0.27265228342426545,0.10342243068781087,5.358040283539935,23.81322272265683,-1.727260695583155e-11,-4.440892098500626e-16,1.6264767310758543e-14,0.0,0.0,5.324882310087098e-08,-4.5458900532757696e-11,2.8238644270150992e-08,2.8433264770422184e-08,4.0,0.012,3.0
sigma4_n012,4.0,143.5389392038869,1.254137860073311,0.00844541446420244,0.048,-0.12787793354790683,-1.0192663402065159,0.24726787811529125,-0.2486531577744798,-0.20177393240900776,0.27933496415920445,-0.00844541446420244,-7.4219707869771145,-7.430416201441317,-7.887837612863865,0.047642243775295,-9.529463894494285,-8.324085495460325,0.19926787811529123,-0.17587793354790682,1.206137860073311,0.06409892849468216,0.0023166712063068732,0.04256905658844811,0.03056905658844811,0.0674339047793978,0.029221292406622634,0.017221292406622634,0.017196514750655867,0.3653607775407518,0.006340776976391438,0.1205690565884481,0.0705690565884481,0.0003576922375776631,0.9996423077624224,0.0009215752403381457,0.25007372601922706,0.1875921011304525,0.19156821417161635,0.0004630460357493214,5.6756988000567207e-05,0.31229112567222883,0.6871890713040212,0.9999999999999999,0.6693825445889734,0.6696220632030919,1.3334644146717813,0.00015440937527723614,0.2841966633585545,0.10383431389916878,5.163560090586572,25.608419880315033,-1.9238719992098474e-11,4.440892098500626e-16,2.19824158875781e-14,0.0,0.0,3.642321023955564e-08,-3.71517135631938e-11,1.948575547444653e-08,1.964543715204936e-08,4.0,0.012,3.0
sigma4_n012,5.0,142.5389392038869,1.31477539940547,0.010813357198827925,0.06,-0.08729509328973344,-0.953865316613887,0.2753450754596169,-0.23661314379729592,-0.18571929921670935,0.2769726006386177,-0.010813357198827925,-7.336332585449018,-7.347145942647845,-7.7958812584084844,0.05961245845185228,-9.405398273654296,-8.225937976457494,0.2153450754596169,-0.14729509328973345,1.25477539940547,0.05737403287717473,0.0024192774810914046,0.03870651101725347,0.026706511017253468,0.0634792118635391,0.026998433012570544,0.014998433012570544,0.014978053905490007,0.3536560939916772,0.006840762882904936,0.11670651101725348,0.06670651101725347,0.0003874664636217204,0.9996125335363782,0.0009738751028805111,0.25007791000823043,0.1875973245343557,0.1940669118199254,0.000489321403214258,6.24750457397976e-05,0.30361143127849405,0.6958367722725518,0.9999999999999999,0.66934750368107,0.6696069539195217,1.3334718543759176,0.00016317491571568436,0.2957037900848272,0.10457744737993484,5.000395529702104,27.323577122029555,-2.1211195994075283e-11,-3.3306690738754696e-16,2.706168622523819e-14,0.0,0.0,2.117512289054324e-07,-2.5804193981224244e-10,1.1422959725337911e-07,1.153292706890241e-07,4.0,0.012,3.0
sigma4_n012,6.0,141.5389392038869,1.3692389926913682,0.013284145615989739,0.07200000000000001,-0.050268126638899104,-0.8921089787220863,0.3013813142608627,-0.22457843780192366,-0.1717013103949936,0.2745070734467232,-0.013284145615989739,-7.258429639462573,-7.271713785078563,-7.706661662669956,0.07158134038385543,-9.288142700272324,-8.131246703018094,0.22938131426086267,-0.1222681266388991,1.297238992691368,0.05171071224209049,0.002522411103404136,0.03543556608530351,0.02343556608530351,0.060122584071604535,0.025126067342562397,0.013126067342562397,0.013109919249632007,0.34374413965243483,0.007338048311033276,0.1134355660853035,0.0634355660853035,0.000418571990436357,0.9995814280095636,0.0010231938546997731,0.25008185550837597,0.18760224986960589,0.19626880149236833,0.0005140987967829464,6.844199125018858e-05,0.2958907527701616,0.7035267064418053,1.0,0.6693144601173511,0.6695947337178291,1.3334788700901867,0.00017144108586590145,0.3072154004269693,0.10560349350774682,4.862151510587072,28.967283447745658,-2.3179725500144244e-11,5.551115123125783e-16,3.352873534367973e-14,0.0,0.0,1.657996163764719e-07,-2.391247811740771e-10,9.013975564575727e-08,9.113373674457526e-08,4.0,0.012,3.0
sigma4_n012,7.0,140.5389392038869,1.4184800174361734,0.01585844697106768,0.084,-0.01626499802285976,-0.833459416519896,0.32569071929957644,-0.21254878575277733,-0.15940600414388126,0.27193774447995533,-0.01585844697106768,-7.187003659588088,-7.202862106559156,-7.619779775413637,0.08354877938682262,-9.176670200513767,-8.03951453894384,0.24169071929957642,-0.10026499802285976,1.3344800174361733,0.04689864951476291,0.002626346454325659,0.0326423974805314,0.020642397480531403,0.05724904418367786,0.023534782526701825,0.011534782526701825,0.011522707829142442,0.3352799923652467,0.007833293110626699,0.11064239748053141,0.06064239748053141,0.00045111882846620913,0.9995488811715338,0.0010698048098921002,0.2500855843847914,0.18760690448736245,0.1982155993111282,0.0005375155727313381,7.467531916527303e-05,0.289008147581928,0.7103796615261754,1.0,0.6692832307773723,0.6695852933104487,1.333485500681417,0.0001792536498963689,0.31876800786313475,0.10687653524263672,4.744046317818035,30.547092784166022,-2.5141184273325123e-11,-1.1102230246251565e-16,3.960720640350246e-14,0.0,0.0,1.2673201207208384e-07,-2.154069938913039e-10,6.940847607772582e-08,7.027266706732815e-08,4.0,0.012,3.0
sigma4_n012,8.0,139.5389392038869,1.4632665970572782,0.018537187811786326,0.096,0.0151467845914792,-0.7774793390869679,0.34852693151673786,-0.2005239485256179,-0.14857989050943515,0.26926371540253236,-0.018537187811786326,-7.121037206091226,-7.139574393903012,-7.534907736303249,0.09551466203620558,-9.070145934134473,-7.950332023148889,0.2525269315167379,-0.0808532154085208,1.3672665970572782,0.042778703477884344,0.0027313289136995733,0.030240217027636275,0.018240217027636275,0.05477080166737591,0.022172050479218885,0.010172050479218885,0.0101639053286251,0.32800065765950387,0.008327205601322161,0.10824021702763628,0.05824021702763628,0.0004852202063763563,0.9995147797936237,0.0011139724643420906,0.2500891177971474,0.18761131484837337,0.199941774965573,0.0005597046492497533,8.11937027900018e-05,0.28286133369341454,0.7164977679545457,0.9999999999999999,0.6692536384488907,0.6695785314821218,1.3334917837642566,0.00018665690185944725,0.33039410391374696,0.10836948337053147,4.642431215309899,32.06967457088019,-2.7090708148991283e-11,4.440892098500626e-16,4.723998969780041e-14,0.0,0.0,9.473687521271978e-08,-1.8905071692137954e-10,5.22474130765227e-08,5.297296198913948e-08,4.0,0.012,3.0
sigma4_n012,9.0,138.5389392038869,1.5042269634160519,0.021321528234380976,0.108,0.04432315644375627,-0.7238089492298692,0.37009741507770677,-0.18850370574565728,-0.1390156412343061,0.2664838531505431,-0.021321528234380976,-7.059696551179276,-7.081018079413657,-7.451773191721503,0.10747887083968288,-8.967882891002564,-7.863358231832273,0.2620974150777068,-0.06367684355624373,1.3962269634160518,0.03922825258184928,0.0028375810868897537,0.028161668434098557,0.016161668434098556,0.05261962522559863,0.02099739261685052,0.008997392616850518,0.008993049357003402,0.3217020255578744,0.008820526019284486,0.10616166843409856,0.05616166843409856,0.0005209933961008338,0.9994790066038992,0.0011559502493999534,0.250092476019952,0.18761550629986698,0.20147611228363219,0.0005807933788958582,8.801702413820964e-05,0.27736304248353905,0.7219681471134268,0.9999999999999999,0.6692255133329019,0.6695743571511762,1.3334977553813363,0.0001936932882021105,0.3421230415274989,0.1100616754494172,4.554472418388285,33.54093683497385,-2.903040655088951e-11,2.220446049250313e-16,-4.440892098500626e-16,0.0,0.0,6.91165222624357e-08,-1.613726734704668e-10,3.8369324037446084e-08,3.895738685116834e-08,4.0,0.012,3.0
